sex,age_group,edattain,classwk,marst,geo2_th2000
201,2,501,400,301,10034
201,2,501,400,301,10034
201,17,502,402,302,10034
202,15,502,400,302,10034
201,4,503,400,301,10034
201,3,502,400,301,10034
202,3,502,400,301,10034
201,14,504,402,302,10034
202,14,502,402,302,10034
201,1,500,400,301,10034
202,16,504,402,301,10034
202,22,501,400,304,10034
202,15,503,402,302,10034
201,3,501,400,301,10034
201,15,503,402,302,10034
202,13,502,400,302,10034
202,3,501,400,301,10034
201,2,501,400,301,10034
201,18,502,402,302,10034
202,17,502,402,302,10034
202,13,503,400,301,10034
201,19,502,400,302,10034
202,19,501,402,302,10034
202,14,504,401,303,10034
202,13,503,403,302,10034
202,3,501,400,301,10034
202,2,501,400,301,10034
201,1,500,400,301,10034
201,16,502,402,303,10034
202,3,501,400,301,10034
202,21,501,400,304,10034
201,15,504,402,301,10034
201,20,501,402,302,10034
202,19,501,402,302,10034
202,14,503,402,302,10034
201,14,502,402,302,10034
202,2,501,400,301,10034
201,17,502,402,302,10034
202,17,502,402,302,10034
202,19,501,402,304,10034
201,4,503,400,301,10034
201,14,503,401,302,10034
202,14,503,403,302,10034
202,1,500,400,301,10034
201,18,502,401,302,10034
202,16,502,401,302,10034
202,13,503,402,301,10034
202,12,503,400,302,10034
201,1,500,400,301,10034
202,17,502,400,302,10034
201,4,502,401,301,10034
201,16,504,402,302,10034
202,16,503,400,302,10034
201,4,502,400,301,10034
201,3,502,400,301,10034
202,1,500,400,301,10034
202,21,501,400,302,10034
201,16,502,400,301,10034
201,15,502,400,301,10034
202,16,504,402,301,10034
202,23,502,400,302,10034
202,3,502,400,301,10034
202,22,501,400,302,10034
201,23,501,400,302,10034
201,14,502,402,302,10034
202,15,509,401,302,10034
202,2,501,400,301,10034
202,2,501,400,301,10034
201,14,503,402,302,10034
202,14,501,402,302,10034
202,1,500,400,301,10034
202,23,501,400,304,10034
202,14,502,400,302,10034
202,3,502,400,301,10034
202,1,500,400,301,10034
201,19,503,401,304,10034
201,15,503,401,302,10034
201,15,503,402,302,10034
201,14,503,403,302,10034
202,16,503,402,302,10034
201,16,503,402,302,10034
202,2,501,400,301,10034
202,2,501,400,301,10034
202,2,501,400,301,10034
201,18,503,402,302,10034
202,17,501,400,302,10034
201,16,503,400,303,10034
202,17,502,402,302,10034
202,4,503,400,301,10034
202,4,502,400,301,10034
201,21,501,402,302,10034
202,20,501,400,302,10034
202,15,503,401,303,10034
201,14,502,400,303,10034
201,1,500,400,301,10034
202,16,503,400,302,10034
201,17,503,402,302,10034
201,4,502,400,301,10034
202,3,502,400,301,10034
202,23,501,400,302,10034
201,23,502,400,302,10034
202,18,501,400,301,10034
202,14,501,400,301,10034
202,3,501,400,301,10034
201,14,502,402,302,10034
202,12,502,402,302,10034
201,1,500,400,301,10034
201,1,500,400,301,10034
201,17,501,400,302,10034
202,18,501,400,302,10034
202,12,503,402,302,10034
202,1,500,400,301,10034
202,22,501,400,302,10034
201,21,501,400,302,10034
201,19,502,401,301,10034
201,18,503,400,304,10034
201,4,502,400,301,10034
201,15,503,402,302,10034
202,14,503,400,302,10034
201,2,501,400,301,10034
202,20,502,400,303,10034
202,13,503,402,301,10034
201,4,502,400,301,10034
201,18,503,402,302,10034
202,17,503,402,302,10034
201,13,504,402,301,10034
201,17,501,402,302,10034
202,16,501,401,302,10034
201,4,503,402,301,10034
202,3,502,400,301,10034
201,15,509,401,302,10034
202,15,502,402,302,10034
202,4,502,400,301,10034
202,22,501,400,304,10034
202,17,504,402,301,10034
202,17,503,402,304,10034
201,15,504,402,302,10034
202,15,503,400,302,10034
201,2,501,400,301,10034
201,1,500,400,301,10034
202,2,501,400,301,10034
202,17,504,402,302,10034
201,18,502,402,302,10034
201,2,501,400,301,10034
202,16,502,400,304,10034
202,4,502,400,301,10034
201,20,502,400,302,10034
202,20,501,400,302,10034
202,14,504,402,301,10034
201,4,502,400,301,10034
201,14,503,402,303,10034
201,2,501,400,301,10034
201,15,503,400,301,10034
201,14,502,400,302,10034
202,13,502,400,302,10034
201,12,504,400,301,10034
201,22,502,400,302,10034
202,22,503,400,302,10034
202,17,503,402,303,10034
201,3,502,400,301,10034
201,3,501,400,301,10034
202,23,501,400,301,10034
202,23,501,400,303,10034
202,17,502,402,301,10034
202,16,504,402,301,10034
202,15,503,402,302,10034
201,16,502,402,302,10034
201,1,500,400,301,10034
201,1,500,400,301,10034
202,22,502,400,304,10034
202,16,504,402,301,10034
201,15,504,400,302,10034
202,15,503,402,302,10034
202,23,502,400,304,10034
201,20,503,400,302,10034
202,20,502,400,302,10034
201,16,502,402,302,10034
202,17,502,402,302,10034
201,25,509,400,302,10034
202,22,502,400,302,10034
202,17,501,402,302,10034
201,12,501,402,302,10034
201,20,502,402,303,10034
202,3,501,400,301,10034
202,3,502,400,301,10034
201,14,502,401,301,10034
202,16,502,400,303,10034
202,4,502,400,301,10034
202,23,503,400,304,10034
202,12,503,400,301,10034
202,4,502,400,301,10034
202,15,504,402,301,10034
201,14,502,402,302,10034
202,14,502,400,302,10034
202,21,502,400,302,10034
202,13,502,402,301,10034
201,20,504,401,302,10034
202,20,504,400,302,10034
202,15,504,402,301,10034
201,13,504,400,301,10034
201,18,502,401,302,10034
202,16,502,401,302,10034
202,13,503,402,301,10034
202,12,503,400,302,10034
201,1,500,400,301,10034
202,17,502,400,302,10034
201,4,502,401,301,10034
201,16,504,402,302,10034
202,16,503,400,302,10034
201,4,502,400,301,10034
201,3,502,400,301,10034
202,1,500,400,301,10034
202,21,501,400,302,10034
201,16,502,400,301,10034
201,15,502,400,301,10034
202,16,504,402,301,10034
202,23,502,400,302,10034
202,3,502,400,301,10034
202,22,501,400,302,10034
201,23,501,400,302,10034
201,14,502,402,302,10034
202,15,509,401,302,10034
202,2,501,400,301,10034
202,2,501,400,301,10034
201,14,503,402,302,10034
202,14,501,402,302,10034
202,1,500,400,301,10034
202,23,501,400,304,10034
202,14,502,400,302,10034
202,3,502,400,301,10034
202,1,500,400,301,10034
201,19,503,401,304,10034
201,15,503,401,302,10034
201,15,503,402,302,10034
201,14,503,403,302,10034
202,16,503,402,302,10034
201,16,503,402,302,10034
202,2,501,400,301,10034
202,2,501,400,301,10034
202,2,501,400,301,10034
201,18,503,402,302,10034
202,17,501,400,302,10034
201,16,503,400,303,10034
202,17,502,402,302,10034
202,4,503,400,301,10034
202,4,502,400,301,10034
201,21,501,402,302,10034
202,20,501,400,302,10034
202,15,503,401,303,10034
201,14,502,400,303,10034
201,1,500,400,301,10034
202,16,503,400,302,10034
201,17,503,402,302,10034
201,4,502,400,301,10034
202,3,502,400,301,10034
202,23,501,400,302,10034
201,23,502,400,302,10034
202,18,501,400,301,10034
202,14,501,400,301,10034
202,3,501,400,301,10034
201,14,502,402,302,10034
202,12,502,402,302,10034
201,1,500,400,301,10034
201,1,500,400,301,10034
201,17,501,400,302,10034
202,18,501,400,302,10034
202,12,503,402,302,10034
202,1,500,400,301,10034
202,22,501,400,302,10034
201,21,501,400,302,10034
201,19,502,401,301,10034
201,18,503,400,304,10034
201,4,502,400,301,10034
201,15,503,402,302,10034
202,14,503,400,302,10034
201,2,501,400,301,10034
202,20,502,400,303,10034
202,13,503,402,301,10034
201,4,502,400,301,10034
201,18,503,402,302,10034
202,17,503,402,302,10034
201,13,504,402,301,10034
201,14,503,402,302,10034
202,14,501,402,302,10034
202,1,500,400,301,10034
202,23,501,400,304,10034
202,14,502,400,302,10034
202,3,502,400,301,10034
202,1,500,400,301,10034
201,19,503,401,304,10034
201,15,503,401,302,10034
201,15,503,402,302,10034
201,14,503,403,302,10034
202,16,503,402,302,10034
201,16,503,402,302,10034
202,2,501,400,301,10034
202,2,501,400,301,10034
202,2,501,400,301,10034
201,18,503,402,302,10034
202,17,501,400,302,10034
201,16,503,400,303,10034
202,17,502,402,302,10034
202,4,503,400,301,10034
202,4,502,400,301,10034
201,21,501,402,302,10034
202,20,501,400,302,10034
202,15,503,401,303,10034
201,14,502,400,303,10034
201,1,500,400,301,10034
202,16,503,400,302,10034
201,17,503,402,302,10034
201,4,502,400,301,10034
202,3,502,400,301,10034
202,23,501,400,302,10034
201,23,502,400,302,10034
202,18,501,400,301,10034
202,14,501,400,301,10034
202,3,501,400,301,10034
201,14,502,402,302,10034
202,12,502,402,302,10034
201,1,500,400,301,10034
201,1,500,400,301,10034
201,17,501,400,302,10034
202,18,501,400,302,10034
202,12,503,402,302,10034
202,1,500,400,301,10034
202,22,501,400,302,10034
201,21,501,400,302,10034
201,19,502,401,301,10034
201,18,503,400,304,10034
201,4,502,400,301,10034
201,15,503,402,302,10034
202,14,503,400,302,10034
201,2,501,400,301,10034
202,20,502,400,303,10034
202,13,503,402,301,10034
201,4,502,400,301,10034
201,18,503,402,302,10034
202,17,503,402,302,10034
201,13,504,402,301,10034
201,17,501,402,302,10034
202,16,501,401,302,10034
201,4,503,402,301,10034
202,3,502,400,301,10034
201,15,509,401,302,10034
202,15,502,402,302,10034
202,4,502,400,301,10034
202,22,501,400,304,10034
202,17,504,402,301,10034
202,17,503,402,304,10034
201,15,504,402,302,10034
202,15,503,400,302,10034
201,2,501,400,301,10034
201,1,500,400,301,10034
202,2,501,400,301,10034
202,17,504,402,302,10034
201,18,502,402,302,10034
201,2,501,400,301,10034
202,16,502,400,304,10034
202,4,502,400,301,10034
201,20,502,400,302,10034
202,20,501,400,302,10034
202,14,504,402,301,10034
201,4,502,400,301,10034
201,14,503,402,303,10034
201,2,501,400,301,10034
201,15,503,400,301,10034
201,14,502,400,302,10034
202,13,502,400,302,10034
201,12,504,400,301,10034
201,22,502,400,302,10034
202,22,503,400,302,10034
202,17,503,402,303,10034
201,3,502,400,301,10034
201,3,501,400,301,10034
202,23,501,400,301,10034
202,23,501,400,303,10034
202,17,502,402,301,10034
202,16,504,402,301,10034
202,15,503,402,302,10034
201,16,502,402,302,10034
201,1,500,400,301,10034
201,1,500,400,301,10034
202,22,502,400,304,10034
202,16,504,402,301,10034
201,15,504,400,302,10034
202,15,503,402,302,10034
202,23,502,400,304,10034
201,20,503,400,302,10034
202,20,502,400,302,10034
201,16,502,402,302,10034
202,17,502,402,302,10034
201,25,509,400,302,10034
202,22,502,400,302,10034
202,17,501,402,302,10034
201,12,501,402,302,10034
201,20,502,402,303,10034
202,3,501,400,301,10034
202,3,502,400,301,10034
201,14,502,401,301,10034
202,16,502,400,303,10034
202,4,502,400,301,10034
202,23,503,400,304,10034
202,12,503,400,301,10034
202,4,502,400,301,10034
202,15,504,402,301,10034
201,14,502,402,302,10034
202,14,502,400,302,10034
202,21,502,400,302,10034
202,13,502,402,301,10034
201,20,504,401,302,10034
202,20,504,400,302,10034
202,15,504,402,301,10034
201,13,504,400,301,10034
201,17,501,402,302,10034
202,16,501,401,302,10034
201,4,503,402,301,10034
202,3,502,400,301,10034
201,15,509,401,302,10034
202,15,502,402,302,10034
202,4,502,400,301,10034
202,22,501,400,304,10034
202,17,504,402,301,10034
202,17,503,402,304,10034
201,15,504,402,302,10034
202,15,503,400,302,10034
201,2,501,400,301,10034
201,1,500,400,301,10034
202,2,501,400,301,10034
202,17,504,402,302,10034
201,18,502,402,302,10034
201,2,501,400,301,10034
202,16,502,400,304,10034
202,4,502,400,301,10034
201,20,502,400,302,10034
202,20,501,400,302,10034
202,14,504,402,301,10034
201,4,502,400,301,10034
201,14,503,402,303,10034
201,2,501,400,301,10034
201,15,503,400,301,10034
201,14,502,400,302,10034
202,13,502,400,302,10034
201,12,504,400,301,10034
201,22,502,400,302,10034
202,22,503,400,302,10034
202,17,503,402,303,10034
201,3,502,400,301,10034
201,3,501,400,301,10034
202,23,501,400,301,10034
202,23,501,400,303,10034
202,17,502,402,301,10034
202,16,504,402,301,10034
202,15,503,402,302,10034
201,16,502,402,302,10034
201,1,500,400,301,10034
201,1,500,400,301,10034
202,22,502,400,304,10034
202,16,504,402,301,10034
201,15,504,400,302,10034
202,15,503,402,302,10034
202,23,502,400,304,10034
201,20,503,400,302,10034
202,20,502,400,302,10034
201,16,502,402,302,10034
202,17,502,402,302,10034
201,25,509,400,302,10034
202,22,502,400,302,10034
202,17,501,402,302,10034
201,12,501,402,302,10034
201,20,502,402,303,10034
202,3,501,400,301,10034
202,3,502,400,301,10034
201,14,502,401,301,10034
202,16,502,400,303,10034
202,4,502,400,301,10034
202,23,503,400,304,10034
202,12,503,400,301,10034
202,4,502,400,301,10034
202,15,504,402,301,10034
201,14,502,402,302,10034
202,14,502,400,302,10034
202,21,502,400,302,10034
202,13,502,402,301,10034
201,20,504,401,302,10034
202,20,504,400,302,10034
202,15,504,402,301,10034
201,13,504,400,301,10034
201,14,504,402,302,10034
202,14,502,402,302,10034
201,1,500,400,301,10034
202,16,504,402,301,10034
202,22,501,400,304,10034
202,15,503,402,302,10034
201,3,501,400,301,10034
201,15,503,402,302,10034
202,13,502,400,302,10034
202,3,501,400,301,10034
201,2,501,400,301,10034
201,18,502,402,302,10034
202,17,502,402,302,10034
202,13,503,400,301,10034
201,19,502,400,302,10034
202,19,501,402,302,10034
202,14,504,401,303,10034
202,13,503,403,302,10034
202,3,501,400,301,10034
202,2,501,400,301,10034
201,1,500,400,301,10034
201,16,502,402,303,10034
202,3,501,400,301,10034
202,21,501,400,304,10034
201,15,504,402,301,10034
201,20,501,402,302,10034
202,19,501,402,302,10034
202,14,503,402,302,10034
201,14,502,402,302,10034
202,2,501,400,301,10034
201,17,502,402,302,10034
202,17,502,402,302,10034
202,19,501,402,304,10034
201,4,503,400,301,10034
201,14,503,401,302,10034
202,14,503,403,302,10034
202,1,500,400,301,10034
201,18,502,401,302,10034
202,16,502,401,302,10034
202,13,503,402,301,10034
202,12,503,400,302,10034
201,1,500,400,301,10034
202,17,502,400,302,10034
201,4,502,401,301,10034
201,16,504,402,302,10034
202,16,503,400,302,10034
201,4,502,400,301,10034
201,3,502,400,301,10034
202,1,500,400,301,10034
202,21,501,400,302,10034
201,16,502,400,301,10034
201,15,502,400,301,10034
202,16,504,402,301,10034
202,23,502,400,302,10034
202,3,502,400,301,10034
202,22,501,400,302,10034
201,23,501,400,302,10034
201,14,502,402,302,10034
202,15,509,401,302,10034
202,2,501,400,301,10034
202,2,501,400,301,10034
201,14,503,402,302,10034
202,14,501,402,302,10034
202,1,500,400,301,10034
202,23,501,400,304,10034
202,14,502,400,302,10034
202,3,502,400,301,10034
202,1,500,400,301,10034
201,19,503,401,304,10034
201,15,503,401,302,10034
201,15,503,402,302,10034
201,14,503,403,302,10034
202,16,503,402,302,10034
201,16,503,402,302,10034
202,2,501,400,301,10034
202,2,501,400,301,10034
202,2,501,400,301,10034
201,18,503,402,302,10034
202,17,501,400,302,10034
201,16,503,400,303,10034
202,17,502,402,302,10034
202,4,503,400,301,10034
202,4,502,400,301,10034
201,21,501,402,302,10034
202,20,501,400,302,10034
202,15,503,401,303,10034
201,14,502,400,303,10034
201,1,500,400,301,10034
202,16,503,400,302,10034
201,17,503,402,302,10034
201,4,502,400,301,10034
202,3,502,400,301,10034
202,23,501,400,302,10034
201,23,502,400,302,10034
202,18,501,400,301,10034
202,14,501,400,301,10034
202,3,501,400,301,10034
201,14,502,402,302,10034
202,12,502,402,302,10034
201,1,500,400,301,10034
201,1,500,400,301,10034
201,17,501,400,302,10034
202,18,501,400,302,10034
202,12,503,402,302,10034
202,1,500,400,301,10034
202,22,501,400,302,10034
201,21,501,400,302,10034
201,19,502,401,301,10034
201,18,503,400,304,10034
201,4,502,400,301,10034
201,15,503,402,302,10034
202,14,503,400,302,10034
201,2,501,400,301,10034
202,20,502,400,303,10034
202,13,503,402,301,10034
201,4,502,400,301,10034
201,18,503,402,302,10034
202,17,503,402,302,10034
201,13,504,402,301,10034
201,17,501,402,302,10034
202,16,501,401,302,10034
201,4,503,402,301,10034
202,3,502,400,301,10034
201,15,509,401,302,10034
202,15,502,402,302,10034
202,4,502,400,301,10034
202,22,501,400,304,10034
202,17,504,402,301,10034
202,17,503,402,304,10034
201,15,504,402,302,10034
202,15,503,400,302,10034
201,2,501,400,301,10034
201,1,500,400,301,10034
202,2,501,400,301,10034
202,17,504,402,302,10034
201,18,502,402,302,10034
201,2,501,400,301,10034
202,16,502,400,304,10034
202,4,502,400,301,10034
201,20,502,400,302,10034
202,20,501,400,302,10034
202,14,504,402,301,10034
201,4,502,400,301,10034
201,14,503,402,303,10034
201,2,501,400,301,10034
201,15,503,400,301,10034
201,14,502,400,302,10034
202,13,502,400,302,10034
201,12,504,400,301,10034
201,22,502,400,302,10034
202,22,503,400,302,10034
202,17,503,402,303,10034
201,3,502,400,301,10034
201,3,501,400,301,10034
202,23,501,400,301,10034
202,23,501,400,303,10034
202,17,502,402,301,10034
202,16,504,402,301,10034
202,15,503,402,302,10034
201,16,502,402,302,10034
201,1,500,400,301,10034
201,1,500,400,301,10034
202,22,502,400,304,10034
202,16,504,402,301,10034
201,15,504,400,302,10034
202,15,503,402,302,10034
202,23,502,400,304,10034
201,20,503,400,302,10034
202,20,502,400,302,10034
201,16,502,402,302,10034
202,17,502,402,302,10034
201,25,509,400,302,10034
202,22,502,400,302,10034
202,17,501,402,302,10034
201,12,501,402,302,10034
201,20,502,402,303,10034
202,3,501,400,301,10034
202,3,502,400,301,10034
201,14,502,401,301,10034
202,16,502,400,303,10034
202,4,502,400,301,10034
202,23,503,400,304,10034
202,12,503,400,301,10034
202,4,502,400,301,10034
202,15,504,402,301,10034
201,14,502,402,302,10034
202,14,502,400,302,10034
202,21,502,400,302,10034
202,13,502,402,301,10034
201,20,504,401,302,10034
202,20,504,400,302,10034
202,15,504,402,301,10034
201,13,504,400,301,10034
201,18,502,401,302,10034
202,15,501,403,302,10034
202,4,502,400,301,10034
201,3,502,400,301,10034
202,3,501,400,301,10034
202,15,504,402,302,10034
202,3,502,400,301,10034
202,2,501,400,301,10034
202,16,503,402,301,10034
201,22,501,402,304,10034
202,16,501,400,302,10034
202,4,501,400,301,10034
202,17,501,402,304,10034
201,12,503,400,301,10034
202,4,501,400,301,10034
201,22,501,401,302,10034
202,20,501,400,302,10034
202,15,504,402,301,10034
201,14,504,403,301,10034
201,14,504,403,301,10034
202,25,501,400,304,10034
201,16,503,401,302,10034
202,17,502,400,302,10034
201,12,503,400,301,10034
202,4,502,400,301,10034
202,3,501,400,301,10034
201,17,502,401,302,10034
202,17,501,400,302,10034
201,4,502,400,301,10034
202,3,502,400,301,10034
202,23,502,400,304,10034
202,15,504,402,301,10034
201,15,501,402,302,10034
202,14,502,400,302,10034
201,16,503,401,301,10034
202,17,501,403,301,10034
202,17,509,400,301,10034
202,4,502,400,301,10034
201,4,502,400,301,10034
201,24,501,400,304,10034
202,21,501,400,302,10034
201,23,501,400,302,10034
202,15,504,402,301,10034
202,14,504,402,301,10034
202,15,504,402,302,10034
201,2,501,400,301,10034
202,1,500,400,301,10034
202,20,501,400,302,10034
201,21,502,400,302,10034
201,13,509,402,301,10034
201,12,502,402,301,10034
202,12,502,400,302,10034
201,15,502,402,302,10034
202,2,501,400,301,10034
201,19,501,400,302,10034
202,19,501,400,302,10034
201,18,501,401,302,10034
202,18,501,403,302,10034
201,19,501,402,302,10034
202,22,501,400,302,10034
202,23,501,400,304,10034
202,21,501,400,304,10034
201,13,503,402,301,10034
202,17,502,401,302,10034
201,2,501,400,301,10034
202,2,501,400,301,10034
201,1,500,400,301,10034
